Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-0.000314698113086002,0.000146155597162641,-0.0580410519105974,0,0,0,2.01628202117527,0.00558353467126573,0.000304973637733987,1.52521910330684E-06,0.0068769529914571,4.14635462158437E-05,0.00700881898958364,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/pelvis.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/pelvis.STL,,腰部固定件-1,base_coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_roll_l_link,0.000919450191800016,0.0572719139837816,-0.036535021735144,0,0,0,1.23732039924563,0.0016927500689674,-0.000278323986811228,0.000223481878326374,0.00586310404745946,-0.000391779790020835,0.00588385612644648,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_roll_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_roll_l_link.STL,,髋Roll转动组件-L-1,hip_roll_left_coordinate,hip_roll_left_axis,hip_roll_l_joint,revolute,0,0.028,-0.0857,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
hip_pitch_l_link,0.00418859920800491,0.00150410212063076,-0.0499109668434261,0,0,0,1.00928417763062,0.00226953968853705,3.4669004767929E-06,-1.93373593276721E-05,0.00475915581140273,6.10547068876304E-05,0.00361243449652642,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_pitch_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_pitch_l_link.STL,,TG20-01-02-00髋Pitch转动组件-L-3,hip_pitch_left_coordinate,hip_pitch_left_axis,hip_pitch_l_joint,revolute,0,0.122,-0.046,0,0,0,hip_roll_l_link,0,1,0,0,0,0,0,,,,,,,,
hip_yaw_l_link,0.0103540120249045,-0.00530604018612879,-0.128897968242103,0,0,0,4.39483809944207,0.0342475434593585,0.000156771142618084,0.000544185884763633,0.0436615521725374,2.08220336248018E-05,0.0121974384261057,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_yaw_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_yaw_l_link.STL,,TG20-01-03-00大腿组件-L-2,hip_yaw_left_coordinate,hip_yaw_left_axis,hip_yaw_l_joint,revolute,0,-0.00015,-0.0987,0,0,0,hip_pitch_l_link,0,0,1,0,0,0,0,,,,,,,,
knee_pitch_l_link,0.00977348214743748,0.00189286306082959,-0.154096121331005,0,0,0,1.37885535677751,0.0233998240636598,1.49714642991773E-05,0.00106049297051654,0.02390814936669,0.00046006704967956,0.00112648089494384,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/knee_pitch_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/knee_pitch_l_link.STL,,小腿组件-L-1,knee_pitch_left_coordinate,knee_pitch_left_axis,knee_pitch_l_joint,revolute,0,0.00010715,-0.3013,0,0,0,hip_yaw_l_link,0,1,0,0,0,0,0,,,,,,,,
ankle_pitch_l_link,1.22819315327577E-09,5.88561477332661E-10,-6.3948846218409E-14,0,0,0,0.111608822288322,7.91093390231636E-06,-9.12165359677767E-18,8.55507493327171E-12,7.91093390230623E-06,-2.59346326782665E-11,1.20892451422291E-05,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/ankle_pitch_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/ankle_pitch_l_link.STL,,踝十字轴组件-1,ankle_pitch&roll_left_coordinate,ankle_pitch_left_axis,ankle_pitch_l_joint,revolute,0,0,-0.4,0,0,0,knee_pitch_l_link,0,1,0,0,0,0,0,,,,,,,,
ankle_roll_l_link,0.0144388129280165,1.46898482461522E-07,-0.0306432167135651,0,0,0,0.706612200470462,0.000521077739264845,-2.6263654027731E-08,-0.000152845028974065,0.0031503209467847,-5.8135641478801E-10,0.00341487321385917,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/ankle_roll_l_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/ankle_roll_l_link.STL,,足部组件-7,ankle_pitch&roll_left_coordinate,ankle_roll_left_axis,ankle_roll_l_joint,revolute,0,0,0,0,0,0,ankle_pitch_l_link,1,0,0,0,0,0,0,,,,,,,,
hip_roll_r_link,-0.000922502756278714,-0.0572719123622103,-0.0365297555006445,0,0,0,1.23732067448595,0.00169275016438444,-0.000278323803058568,-0.000223493143559199,0.00586310553384015,0.000391779864042873,0.00588385760377364,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_roll_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_roll_r_link.STL,,髋Roll转动组件-R-2,hip_roll_right_coordinate,hip_roll_right_axis,hip_roll_r_joint,revolute,0,-0.028,-0.0857,0,0,0,pelvis,1,0,0,0,0,0,0,,,,,,,,
hip_pitch_r_link,0.00357505714163093,-0.01002874798767,-0.0405260603438964,0,0,0,1.24327834411987,0.00306250597443073,-3.42905662535296E-06,-4.81067341746619E-05,0.00594632220716022,0.000112752154127276,0.00426108757923478,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_pitch_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_pitch_r_link.STL,,TG20-01-02-00髋Pitch转动组件-R-2,hip_pitch_right_coordinate,hip_pitch_right_axis,hip_pitch_r_joint,revolute,0,-0.122,-0.046,0,0,0,hip_roll_r_link,0,1,0,0,0,0,0,,,,,,,,
hip_yaw_r_link,0.0108657934847858,0.00512609147816487,-0.125792089596934,0,0,0,2.18664263119094,0.0169072969588581,-7.77506368672042E-05,0.000223078682561433,0.0215376557162319,-1.14243268812287E-05,0.00600784135856459,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_yaw_r_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tiangong2_EVT_V9_urdf/meshes/hip_yaw_r_link.STL,,TG20-01-03-00大腿组件-R-1,hip_yaw_right_coordinate,hip_yaw_right_axis,hip_yaw_r_joint,revolute,0,0,-0.0987,0,0,0,hip_pitch_r_link,0,0,1,0,0,0,0,,,,,,,,
